imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count
tt10482032,0.0,0.0,,es,2021-04-08,0.688,0.0,0.0
tt10482844,0.0,0.0,,en,2021-10-23,3.745,2.5,2.0
tt10483044,20000000.0,0.0,R,en,2021-03-03,1.697,7.3,4.0
tt10483152,0.0,0.0,,es,2022-12-28,4.192,8.0,1.0
tt10483386,0.0,0.0,,hi,2021-03-19,3.207,5.4,16.0
tt10486934,0.0,0.0,,ar,2022-05-11,9.334,0.0,0.0
tt10487696,0.0,0.0,,en,2021-09-28,1.382,1.5,2.0
tt10487912,0.0,0.0,,en,2021-07-06,2.699,6.8,14.0
tt10488406,0.0,0.0,,cn,2021-01-22,1.758,7.1,7.0
tt10489128,0.0,0.0,,en,2022-02-18,0.907,0.0,0.0
tt10489208,0.0,0.0,,en,2022-08-09,2.086,0.0,0.0
tt10489754,0.0,0.0,,en,2021-01-01,0.974,5.0,1.0
tt10497782,0.0,0.0,,de,2021-08-19,5.365,0.0,0.0
tt10498792,0.0,0.0,,en,2021-04-08,2.103,0.0,0.0
tt10500478,0.0,0.0,,hi,2021-02-05,0.63,0.0,0.0
tt10501764,0.0,0.0,,ml,2021-11-19,0.6,8.0,1.0
tt10503736,0.0,0.0,R,en,2021-10-11,4.217,3.9,4.0
tt10503798,0.0,0.0,,en,2021-10-01,5.289,7.3,3.0
tt10503988,0.0,0.0,NR,en,2022-01-28,4.688,5.4,11.0
tt10505316,20800000.0,7249380.0,,fr,2021-10-20,14.441,7.5,218.0
tt10506876,0.0,0.0,,en,2022-03-25,3.01,5.7,6.0
tt10508446,0.0,0.0,,en,2021-09-02,0.6,0.0,0.0
tt10509374,0.0,0.0,,en,2021-08-11,0.921,0.0,0.0
tt10509906,0.0,0.0,R,en,2022-02-04,8.093,5.436,47.0
tt10510280,1250000.0,0.0,,en,2021-02-15,2.484,6.3,9.0
tt10514056,0.0,0.0,,en,2021-10-22,0.6,0.0,0.0
tt10514240,0.0,0.0,,en,2021-03-26,3.589,7.2,5.0
tt10514932,150000.0,0.0,,en,2021-07-07,0.651,0.0,0.0
tt10515864,0.0,0.0,,pl,2021-10-22,18.906,6.2,80.0
tt10515988,0.0,0.0,R,en,2021-10-29,277.063,6.5,351.0
tt10516196,0.0,0.0,,pl,2021-09-17,5.47,7.4,18.0
tt10518176,0.0,0.0,,ml,2022-10-21,4.159,6.5,8.0
tt10518732,30000.0,0.0,,en,2021-10-20,0.722,5.75,4.0
tt10520754,0.0,0.0,NR,en,2021-02-12,2.335,0.0,0.0
tt10521092,14000000.0,0.0,,nl,2021-06-05,47.432,7.2,393.0
tt10521144,0.0,0.0,,en,2021-09-15,94.205,6.4,241.0
tt10521244,0.0,0.0,,en,2021-06-15,0.726,5.5,2.0
tt10528948,0.0,0.0,NR,en,2021-06-04,4.105,5.8,10.0
tt10530090,0.0,0.0,,en,2021-11-23,0.6,0.0,0.0
tt10530704,0.0,0.0,,si,2022-07-22,0.6,0.0,0.0
tt10530838,0.0,0.0,,en,2022-05-19,6.665,6.8,12.0
tt10533804,0.0,0.0,NR,en,2021-07-02,5.179,4.6,10.0
tt10534500,0.0,0.0,,ml,2021-08-19,1.408,7.8,13.0
tt10535522,0.0,0.0,,en,2023-01-13,1.459,0.0,0.0
tt10537660,16438300.0,1453460.0,,fr,2021-07-14,19.408,5.1,78.0
tt10539172,0.0,0.0,,en,2021-10-01,5.718,4.9,7.0
tt10540510,0.0,0.0,,ja,2022-05-28,3.097,0.0,0.0
tt10542492,0.0,0.0,,en,2022-07-25,2.49,0.0,1.0
tt10544750,0.0,0.0,,en,2021-02-03,0.6,7.0,1.0
tt10545696,7007340.0,0.0,,fr,2022-02-23,14.813,5.7,141.0
tt10545704,0.0,0.0,,fr,2022-01-12,8.933,6.907,161.0
tt10547442,0.0,0.0,,fr,2022-04-20,2.355,4.0,2.0
tt10549500,0.0,0.0,,en,2021-06-08,0.91,0.0,0.0
tt10551236,0.0,0.0,,sk,2021-08-12,0.646,0.0,0.0
tt10553438,0.0,0.0,,nl,2021-06-17,1.71,5.5,4.0
tt10554196,0.0,0.0,,en,2021-03-23,4.098,4.0,3.0
tt10556674,0.0,0.0,,en,2021-01-15,1.246,4.7,3.0
tt10556756,0.0,0.0,,zh,2021-11-12,0.6,0.0,0.0
tt10565666,0.0,0.0,,en,2021-06-04,3.546,2.0,2.0
tt10566928,0.0,0.0,,sr,2021-01-02,1.073,8.5,4.0
tt10569922,0.0,0.0,,hi,2021-11-19,3.118,5.7,3.0
tt10572658,0.0,0.0,,en,2021-09-17,5.386,6.7,14.0
tt10573946,0.0,0.0,,pt,2021-06-10,21.423,5.8,22.0
tt10573984,268000.0,0.0,,en,2021-02-07,0.984,7.2,15.0
tt10578206,0.0,0.0,NR,en,2021-03-09,4.021,6.7,3.0
tt10579952,0.0,0.0,,ta,2021-01-13,4.744,7.0,52.0
tt10580188,0.0,0.0,PG,en,2022-10-11,12.915,6.8,10.0
tt10580194,0.0,0.0,PG,en,2022-09-19,3.902,4.0,3.0
tt10588504,0.0,0.0,,en,2021-08-07,1.4,0.0,0.0
tt10590506,0.0,0.0,,fr,2021-07-28,2.784,5.4,24.0
tt10596572,0.0,0.0,,en,2021-02-01,1.303,0.0,0.0
tt10598156,10922800.0,0.0,,hi,2022-05-20,3.958,5.8,6.0
tt10601552,0.0,0.0,,en,2022-04-21,4.437,4.7,3.0
